prompt,completion,split
"<|im_start|>system
You are a law expert. Based on the given question, generate a single line answer concisely.  <|im_end|>
<|im_start|>Question
 What transactions are exempt from consumption tax in Japan?
<|im_start|>Answer
",Export transactions and export-like transactions such as international communications and international transport are exempt from consumption tax in Japan.<|im_end|>,train
"<|im_start|>system
You are a law expert. Based on the given question, generate a single line answer concisely.  <|im_end|>
<|im_start|>Question
 What are some of the laws in Japan that pertain to labor and the protection of workers?
<|im_start|>Answer
","Some of the laws in Japan that pertain to labor and the protection of workers include the Labor Standards Act, the Industrial Safety and Health Act, and the Minimum Wage Act.<|im_end|>",train
"<|im_start|>system
You are a law expert. Based on the given question, generate a single line answer concisely.  <|im_end|>
<|im_start|>Question
 What is the current legal action domain for infringement of rights in Japan?
<|im_start|>Answer
",Legal action pertaining to infringement of rights is currently the sole domain of lawyers (bengoshi) in Japan.<|im_end|>,train
"<|im_start|>system
You are a law expert. Based on the given question, generate a single line answer concisely.  <|im_end|>
<|im_start|>Question
 What is the purpose of a Skilled Labor status of residence in Japan?
<|im_start|>Answer
","The purpose of a Skilled Labor status of residence in Japan is to engage in services that require industrial techniques or skills belonging to special fields, on the basis of a contract with a public or private organization in Japan.<|im_end|>",train
"<|im_start|>system
You are a law expert. Based on the given question, generate a single line answer concisely.  <|im_end|>
<|im_start|>Question
 What is the role of Japan Patent Office in trademark registration?
<|im_start|>Answer
",The Japan Patent Office is responsible for processing trademark applications and granting trademark registrations in Japan.<|im_end|>,train
"<|im_start|>system
You are a law expert. Based on the given question, generate a single line answer concisely.  <|im_end|>
<|im_start|>Question
 Is the appointment of a representative director possible for small and medium companies in Japan?
<|im_start|>Answer
","No, the appointment of a representative director is not possible for small and medium companies in Japan.<|im_end|>",train
"<|im_start|>system
You are a law expert. Based on the given question, generate a single line answer concisely.  <|im_end|>
<|im_start|>Question
 How are profits/losses from internal transactions between a Japanese branch and its head office recognized?
<|im_start|>Answer
","Profits/losses from the internal transactions between the branch and head office, etc. are to be recognized based on the presumption that transactions are conducted with the arm's length prices.<|im_end|>",train
"<|im_start|>system
You are a law expert. Based on the given question, generate a single line answer concisely.  <|im_end|>
<|im_start|>Question
 What does Employment Insurance cover?
<|im_start|>Answer
",Employment Insurance provides for workers that become unemployed and helps to maintain stable employment such as by providing financial aid and subsidies.<|im_end|>,train
"<|im_start|>system
You are a law expert. Based on the given question, generate a single line answer concisely.  <|im_end|>
<|im_start|>Question
 What are the main consumer protection laws in Japan?
<|im_start|>Answer
","Consumer protection laws in Japan include the Consumer Contract Act, the Unfair Competition Prevention Act, and the Act on Specified Commercial Transactions.<|im_end|>",train
"<|im_start|>system
You are a law expert. Based on the given question, generate a single line answer concisely.  <|im_end|>
<|im_start|>Question
 What is the maximum term for directors in small and medium Kabushiki-Kaisha?
<|im_start|>Answer
",The term for directors in small and medium Kabushiki-Kaisha can be extended up to 10 years.<|im_end|>,train
"<|im_start|>system
You are a law expert. Based on the given question, generate a single line answer concisely.  <|im_end|>
<|im_start|>Question
 Who is responsible for filing and paying consumption tax on their taxable bases in Japan?
<|im_start|>Answer
",Enterprises engaged in domestic transactions (excluding enterprises that are exempt from consumption tax) and parties engaged in import transactions must file and pay consumption tax on their taxable bases in Japan.<|im_end|>,train
"<|im_start|>system
You are a law expert. Based on the given question, generate a single line answer concisely.  <|im_end|>
<|im_start|>Question
 What is the main principle of the Japanese corporate tax system for income generated by corporations in Japan?
<|im_start|>Answer
",The main principle is that corporations engaged in economic activities in Japan are subject to taxes in Japan on the profits generated by those economic activities.<|im_end|>,train
"<|im_start|>system
You are a law expert. Based on the given question, generate a single line answer concisely.  <|im_end|>
<|im_start|>Question
 What happens after the reply to the rejection notice is submitted?
<|im_start|>Answer
",The examiner will make a decision on whether to register the trademark.<|im_end|>,train
"<|im_start|>system
You are a law expert. Based on the given question, generate a single line answer concisely.  <|im_end|>
<|im_start|>Question
 Can regular lawyers perform the work of patent attorneys in Japan?
<|im_start|>Answer
","Yes, regular lawyers (bengoshi) in Japan can also perform the work of patent attorneys, but due to the high level of expert knowledge required, it is more common for people to hire patent attorneys.<|im_end|>",train
"<|im_start|>system
You are a law expert. Based on the given question, generate a single line answer concisely.  <|im_end|>
<|im_start|>Question
 What is the meaning of ""person who gave properties"" and ""person who received properties"" in the context of inheritance and gift tax in Japan?
<|im_start|>Answer
","In the context of inheritance and gift tax in Japan, the ""person who gave properties"" refers to the decedent/donor, while the ""person who received properties"" refers to the heir/devisee/legatee/donee.<|im_end|>",train
"<|im_start|>system
You are a law expert. Based on the given question, generate a single line answer concisely.  <|im_end|>
<|im_start|>Question
 What documents must be presented when registering the company seal in Japan?
<|im_start|>Answer
",The personal seal registration certificates or signature certificates of the persons authorized to use the seal must be presented when registering the company seal.<|im_end|>,train
"<|im_start|>system
You are a law expert. Based on the given question, generate a single line answer concisely.  <|im_end|>
<|im_start|>Question
 Can you provide an example of when a property located outside Japan is subject to Japanese inheritance/gift tax?
<|im_start|>Answer
","Yes, a property located outside Japan is subject to Japanese inheritance/gift tax if the person who received the properties has Japanese nationality and either the person who gave the properties or the person who received the properties had an address in Japan within the five years prior to the time of the inheritance/gift.<|im_end|>",train
"<|im_start|>system
You are a law expert. Based on the given question, generate a single line answer concisely.  <|im_end|>
<|im_start|>Question
 What kind of support does Hello Work offer?
<|im_start|>Answer
",Hello Work offers free support for people looking for work and companies looking for workers.<|im_end|>,train
"<|im_start|>system
You are a law expert. Based on the given question, generate a single line answer concisely.  <|im_end|>
<|im_start|>Question
 Is nursing care insurance coverage available for everyone?
<|im_start|>Answer
",Nursing care insurance applies only to those of 40 years or over.<|im_end|>,train
"<|im_start|>system
You are a law expert. Based on the given question, generate a single line answer concisely.  <|im_end|>
<|im_start|>Question
 What are the taxes levied in Japan on income generated by the activities of a corporation?
<|im_start|>Answer
","The taxes levied in Japan on income generated by the activities of a corporation include corporate tax (national tax), local corporate tax (national tax), corporate inhabitant tax (local tax), enterprise tax (local tax), and special local corporate tax (a national tax, although filings and payments are made to local governments along with those for enterprise tax) (hereinafter collectively referred to as ""corporate taxes"").<|im_end|>",train
"<|im_start|>system
You are a law expert. Based on the given question, generate a single line answer concisely.  <|im_end|>
<|im_start|>Question
 What are the preferential treatments for ""Class 1 Highly Skilled Professionals"" in Japan?
<|im_start|>Answer
","The preferential treatments for ""Class 1 Highly Skilled Professionals"" in Japan include permission to engage in multiple types of activity during stay in Japan, granting of a 5-year period of stay, relaxation of residence requirements for granting of permission for permanent residence (eligibility for permanent residence in around 5 years), preferential processing of immigration and residency procedures, permission for the spouse of a highly skilled foreign professional to work, permission for accompaniment by a parent of a highly skilled professional under certain conditions, and permission for accompaniment by a domestic worker employed by a highly skilled person under certain conditions.<|im_end|>",train
"<|im_start|>system
You are a law expert. Based on the given question, generate a single line answer concisely.  <|im_end|>
<|im_start|>Question
 Can the minimum annual income criteria be abolished for certain categories of highly skilled foreign professionals?
<|im_start|>Answer
","Yes, the minimum annual income criterion for Advanced academic research activities (Class 1(a) Highly Skilled Professional) has been abolished.<|im_end|>",train
"<|im_start|>system
You are a law expert. Based on the given question, generate a single line answer concisely.  <|im_end|>
<|im_start|>Question
 What is the tax rate for non-residents who earn salary income paid for services provided in Japan and not deemed subject to withholding tax in Japan?
<|im_start|>Answer
",Non-residents who earn salary income paid for services provided in Japan and not deemed subject to withholding tax in Japan must file a return and pay a 20.42% tax on the total amount of that salary.<|im_end|>,train
"<|im_start|>system
You are a law expert. Based on the given question, generate a single line answer concisely.  <|im_end|>
<|im_start|>Question
 When must the Notification of establishment of an office paying salaries be filed with the national tax authorities?
<|im_start|>Answer
",The Notification of establishment of an office paying salaries must be filed within 1 month from the establishment of the office.<|im_end|>,train
"<|im_start|>system
You are a law expert. Based on the given question, generate a single line answer concisely.  <|im_end|>
<|im_start|>Question
 What happens if a labor contract does not stipulate the governing law?
<|im_start|>Answer
","If a labor contract does not stipulate the governing law, it is assumed to be the law of the region in which labor services are provided.<|im_end|>",train
"<|im_start|>system
You are a law expert. Based on the given question, generate a single line answer concisely.  <|im_end|>
<|im_start|>Question
 What is the purpose of Japan's design system?
<|im_start|>Answer
","The purpose of Japan's design system is to protect the attractive and comfortably functional shape, pattern, color, and other design characteristics of items relating to their external appearances.<|im_end|>",train
"<|im_start|>system
You are a law expert. Based on the given question, generate a single line answer concisely.  <|im_end|>
<|im_start|>Question
 What is the name of the country with which Japan has a social security agreement effective from February 2000?
<|im_start|>Answer
",Germany<|im_end|>,train
"<|im_start|>system
You are a law expert. Based on the given question, generate a single line answer concisely.  <|im_end|>
<|im_start|>Question
 Can the protection period be renewed?
<|im_start|>Answer
","Yes, the protection period can be renewed every 10 years by paying the renewal fees.<|im_end|>",train
"<|im_start|>system
You are a law expert. Based on the given question, generate a single line answer concisely.  <|im_end|>
<|im_start|>Question
 What is the minimum number of auditors required for large Kabushiki-Kaisha?
<|im_start|>Answer
",Appointment of 1 or more auditors is required for large Kabushiki-Kaisha.<|im_end|>,train
"<|im_start|>system
You are a law expert. Based on the given question, generate a single line answer concisely.  <|im_end|>
<|im_start|>Question
 Are ""Dependents"" allowed to work for compensation in Japan?
<|im_start|>Answer
","In principle, no.<|im_end|>",train
"<|im_start|>system
You are a law expert. Based on the given question, generate a single line answer concisely.  <|im_end|>
<|im_start|>Question
 Who withholds the portion of employment insurance premiums payable by the employee?
<|im_start|>Answer
",The employer.<|im_end|>,train
"<|im_start|>system
You are a law expert. Based on the given question, generate a single line answer concisely.  <|im_end|>
<|im_start|>Question
 What is the deadline for filing a final tax return in Japan?
<|im_start|>Answer
","Corporations must file a final tax return for corporate tax, local corporate tax, corporate inhabitant tax, enterprise tax, and special local corporate tax on their income within two months from the day following the last day of each taxable year.<|im_end|>",train
"<|im_start|>system
You are a law expert. Based on the given question, generate a single line answer concisely.  <|im_end|>
<|im_start|>Question
 How can a foreign national apply for re-entry permission in Japan?
<|im_start|>Answer
","The foreign national must personally appear at the Regional Immigration Bureau (or branch office thereof) having jurisdiction for the location in which he/she resides to apply for re-entry permission. However, if the foreign national is under the age of 16 or is unable to appear personally due to illness or some other reason, a parent or spouse may apply on his/her behalf. The applicant also need not appear personally at the Immigration Bureau if applying through an application agent who has been authorized by the Immigration Bureau or has registered with the Immigration Bureau as an application agent.<|im_end|>",train
"<|im_start|>system
You are a law expert. Based on the given question, generate a single line answer concisely.  <|im_end|>
<|im_start|>Question
 What is the tax treatment on remittances made by a branch of a foreign corporation to its head office before April 1, 2016?
<|im_start|>Answer
","In case of the business year commencing by March 31, 2016, the remittances cannot as a general rule be treated as expenses by the payer branch when calculating the taxable income of the branch.<|im_end|>",train
"<|im_start|>system
You are a law expert. Based on the given question, generate a single line answer concisely.  <|im_end|>
<|im_start|>Question
 Are diplomats and officials in Japan eligible for a resident card?
<|im_start|>Answer
","No, diplomats and officials in Japan are not eligible for a resident card.<|im_end|>",train
"<|im_start|>system
You are a law expert. Based on the given question, generate a single line answer concisely.  <|im_end|>
<|im_start|>Question
 Can relative entries in Godo-Kaisha's articles of incorporation contravene the Companies Act?
<|im_start|>Answer
","No, relative entries in Godo-Kaisha's articles of incorporation may be freely determined provided that they do not contravene the Companies Act.<|im_end|>",train
"<|im_start|>system
You are a law expert. Based on the given question, generate a single line answer concisely.  <|im_end|>
<|im_start|>Question
 What is the phone number for the Invest Japan Promotion Division?
<|im_start|>Answer
",+81-3-3582-5571<|im_end|>,train
"<|im_start|>system
You are a law expert. Based on the given question, generate a single line answer concisely.  <|im_end|>
<|im_start|>Question
 Who pays the premiums for Employment Insurance in Japan?
<|im_start|>Answer
","Both the employer and the worker pay premiums for Employment Insurance in Japan, with the employer paying 0.4% and the worker paying 0.3%.<|im_end|>",train
"<|im_start|>system
You are a law expert. Based on the given question, generate a single line answer concisely.  <|im_end|>
<|im_start|>Question
 What is the deadline for filing the Notification of acquisition of status of foreign ordinary corporation with the national tax authorities?
<|im_start|>Answer
",The Notification of acquisition of status of foreign ordinary corporation must be filed within 2 months from the date of acquisition of status of foreign ordinary corporation.<|im_end|>,train
"<|im_start|>system
You are a law expert. Based on the given question, generate a single line answer concisely.  <|im_end|>
<|im_start|>Question
 What is the registration fee for the first year of design registration in Japan?
<|im_start|>Answer
","The registration fee for the first year of design registration in Japan is 8,500 yen.<|im_end|>",train
"<|im_start|>system
You are a law expert. Based on the given question, generate a single line answer concisely.  <|im_end|>
<|im_start|>Question
 What documents are required to open a bank account under the company name?
<|im_start|>Answer
",The certificate of registered information and the company seal impression certificate are required to open a bank account under the company name.<|im_end|>,train
"<|im_start|>system
You are a law expert. Based on the given question, generate a single line answer concisely.  <|im_end|>
<|im_start|>Question
 What must be unique in order to be registered as a trademark according to the Trademark Law?
<|im_start|>Answer
",Trademarks<|im_end|>,train
"<|im_start|>system
You are a law expert. Based on the given question, generate a single line answer concisely.  <|im_end|>
<|im_start|>Question
 What is the maximum term for labor contracts?
<|im_start|>Answer
","Three years, except in a few special cases.<|im_end|>",train
"<|im_start|>system
You are a law expert. Based on the given question, generate a single line answer concisely.  <|im_end|>
<|im_start|>Question
 When can applications for extension of period of stay be submitted?
<|im_start|>Answer
","From around three months before the expiration date, if the period of stay is at least six months.<|im_end|>",train
"<|im_start|>system
You are a law expert. Based on the given question, generate a single line answer concisely.  <|im_end|>
<|im_start|>Question
 What is the tax treatment for income derived from the management/holding of assets in Japan?
<|im_start|>Answer
","The tax treatment for income derived from the management/holding of assets in Japan depends on the specific circumstances and the nature of the assets. Generally, this income is subject to taxation in Japan if the assets are located in Japan or if the management activities are performed in Japan.<|im_end|>",train
"<|im_start|>system
You are a law expert. Based on the given question, generate a single line answer concisely.  <|im_end|>
<|im_start|>Question
 What is the process for obtaining a company seal impression certificate in Japan?
<|im_start|>Answer
",The company seal impression certificate can be obtained from the Legal Affairs Bureau after completion of establishment registration.<|im_end|>,train
"<|im_start|>system
You are a law expert. Based on the given question, generate a single line answer concisely.  <|im_end|>
<|im_start|>Question
 What is the purpose of Japan's trademark system?
<|im_start|>Answer
","The purpose of Japan's trademark system is to protect the marks and logos used in commerce on goods or services, and to contribute to the development of Japan's industries and protect the interests of consumers.<|im_end|>",train
"<|im_start|>system
You are a law expert. Based on the given question, generate a single line answer concisely.  <|im_end|>
<|im_start|>Question
 What is the minimum period creditors of a subsidiary company must be given prior to liquidation to submit objections?
<|im_start|>Answer
",Creditors must be given a period of no less than two months prior to the liquidation to submit objections.<|im_end|>,train
"<|im_start|>system
You are a law expert. Based on the given question, generate a single line answer concisely.  <|im_end|>
<|im_start|>Question
 What types of screen designs are now protected in Japan under certain conditions?
<|im_start|>Answer
","Screen designs such as the designs of operation screens for programming DVD recorders, operation screens for selecting a person to call on a cellular phone, and photo printer setup screens are now protected under certain conditions in Japan.<|im_end|>",train
"<|im_start|>system
You are a law expert. Based on the given question, generate a single line answer concisely.  <|im_end|>
<|im_start|>Question
 Do I need to submit a Notice of Agreement if there is any possibility that employees will work outside statutory working hours or on statutory days off?
<|im_start|>Answer
","Yes, you need to submit a Notice of Agreement if there is any possibility that employees will work outside statutory working hours or on statutory days off.<|im_end|>",train
"<|im_start|>system
You are a law expert. Based on the given question, generate a single line answer concisely.  <|im_end|>
<|im_start|>Question
 What is the tax treatment for consideration for providing certain services rendered in Japan such as engineers?
<|im_start|>Answer
","The tax treatment for consideration for providing certain services rendered in Japan, such as engineers, depends on the specific circumstances and the nature of the services provided. Generally, this income is subject to taxation in Japan if the services are performed in Japan.<|im_end|>",train
"<|im_start|>system
You are a law expert. Based on the given question, generate a single line answer concisely.  <|im_end|>
<|im_start|>Question
 What are the key laws and regulations for setting up a business in Japan?
<|im_start|>Answer
","The laws and regulations for setting up a business in Japan include company formation, employment, taxation, and trade regulations.<|im_end|>",train
"<|im_start|>system
You are a law expert. Based on the given question, generate a single line answer concisely.  <|im_end|>
<|im_start|>Question
 Where is the Invest Japan Promotion Division located?
<|im_start|>Answer
","Ark Mori Building, 6F, 12-32, Akasaka 1-chome, Minato-ku, Tokyo 107-6006, Japan<|im_end|>",train
"<|im_start|>system
You are a law expert. Based on the given question, generate a single line answer concisely.  <|im_end|>
<|im_start|>Question
 How are premiums calculated for Workers' Accident Compensation Insurance?
<|im_start|>Answer
",Premiums are generally calculated as a certain percentage of each worker's total wage. The rate of premium depends on the kind of business carried out at the workplace.<|im_end|>,train
"<|im_start|>system
You are a law expert. Based on the given question, generate a single line answer concisely.  <|im_end|>
<|im_start|>Question
 What is the legal force of work rules when they are reasonable in content?
<|im_start|>Answer
","When work rules are reasonable in content, they have the same legal force as labor contracts.<|im_end|>",train
"<|im_start|>system
You are a law expert. Based on the given question, generate a single line answer concisely.  <|im_end|>
<|im_start|>Question
 What is the fixed asset tax (depreciable property tax) in Japan?
<|im_start|>Answer
","The fixed asset tax (depreciable property tax) in Japan is a tax levied on the ownership of assets, specifically on land, structures, and depreciable assets for business use. It is payable by the owners of said property as of January 1 each year at a rate of 1.4%.<|im_end|>",train
"<|im_start|>system
You are a law expert. Based on the given question, generate a single line answer concisely.  <|im_end|>
<|im_start|>Question
 What happens to the register when all representatives in Japan resign?
<|im_start|>Answer
","The register is closed without a date being entered for the branch office's closure. However, if a date of closure is required in the register, both (1) branch office closure and (2) resignation of all representatives in Japan must be registered.<|im_end|>",train
"<|im_start|>system
You are a law expert. Based on the given question, generate a single line answer concisely.  <|im_end|>
<|im_start|>Question
 What new foreign tax credits have become available to foreign corporations due to the change in the scope of taxable income of Japanese branches?
<|im_start|>Answer
",Foreign tax credits are available whereby taxes paid in a third country may be credited within certain bounds against Japanese taxes owed to avoid international double taxation.<|im_end|>,train
"<|im_start|>system
You are a law expert. Based on the given question, generate a single line answer concisely.  <|im_end|>
<|im_start|>Question
 How are non-residents classified for self-assessed income tax purposes in Japan?
<|im_start|>Answer
","Non-residents are classified into three categories: (a) non-residents having an office, etc., in Japan, (b) non-residents continuously engaged in construction or assembly in Japan for one year or more, or doing business through a designated agent in Japan, and (c) other non-residents.<|im_end|>",train
"<|im_start|>system
You are a law expert. Based on the given question, generate a single line answer concisely.  <|im_end|>
<|im_start|>Question
 How do non-residents file and pay their taxes in Japan?
<|im_start|>Answer
","Non-residents file and pay taxes following the same regulations as residents. However, non-residents leaving Japan without designating a tax agent and reporting this fact to the director of the taxation office must submit an income tax return and pay the tax owed prior to leaving Japan.<|im_end|>",train
"<|im_start|>system
You are a law expert. Based on the given question, generate a single line answer concisely.  <|im_end|>
<|im_start|>Question
 How is the ""discretionary working system for professional services"" implemented?
<|im_start|>Answer
",It is implemented by prescribing working hours in the labor-management agreement and submitting that agreement to the Labor Standards Inspection Office.<|im_end|>,train
"<|im_start|>system
You are a law expert. Based on the given question, generate a single line answer concisely.  <|im_end|>
<|im_start|>Question
 Which website can provide a list of countries that have visa exemption arrangements with Japan?
<|im_start|>Answer
",The Ministry of Foreign Affairs of Japan website (http://www.mofa.go.jp/jinfo/visit/visa/short/novisa.html) can provide a list of countries that have visa exemption arrangements with Japan.<|im_end|>,train
"<|im_start|>system
You are a law expert. Based on the given question, generate a single line answer concisely.  <|im_end|>
<|im_start|>Question
 What is the maximum number of hours an employer can require an employee to work in excess of statutory working hours in a month?
<|im_start|>Answer
",45 hours.<|im_end|>,train
"<|im_start|>system
You are a law expert. Based on the given question, generate a single line answer concisely.  <|im_end|>
<|im_start|>Question
 Is there any legislation that restricts how companies can recruit employees in Japan?
<|im_start|>Answer
","Yes, under the Equal Employment Opportunities Act, employers must afford equal opportunities regardless of sex when recruiting and hiring workers. Employers may not specify male or female employees when advertising situations vacant, with the exception of a few specific positions.<|im_end|>",train
"<|im_start|>system
You are a law expert. Based on the given question, generate a single line answer concisely.  <|im_end|>
<|im_start|>Question
 What is the first step in the registration process after filing a trademark application in Japan?
<|im_start|>Answer
",Payment of the application fee.<|im_end|>,train
"<|im_start|>system
You are a law expert. Based on the given question, generate a single line answer concisely.  <|im_end|>
<|im_start|>Question
 How long does it typically take for a trademark to be registered in Japan?
<|im_start|>Answer
","It generally takes approximately six months for the examination process and another one or two months for registration, totaling about eight months from the time of application.<|im_end|>",train
"<|im_start|>system
You are a law expert. Based on the given question, generate a single line answer concisely.  <|im_end|>
<|im_start|>Question
 Are there any restrictions on the deductible amount of losses for certain corporations in Japan?
<|im_start|>Answer
","Yes, if a corporation has paid-in capital in excess of 100 million yen or is a wholly owned subsidiary of a large corporation with paid-in capital of at least 500 million yen (including foreign corporations), the amount of loss that can be deducted from income cannot exceed 80% of income.<|im_end|>",train
"<|im_start|>system
You are a law expert. Based on the given question, generate a single line answer concisely.  <|im_end|>
<|im_start|>Question
 What is the notice period for dismissing an employee in this context?
<|im_start|>Answer
","If an employer wishes to dismiss an employee, the employer must give the employee at least 30 days' notice.<|im_end|>",train
"<|im_start|>system
You are a law expert. Based on the given question, generate a single line answer concisely.  <|im_end|>
<|im_start|>Question
 What is the purpose of the documents certifying the subsidiary company's articles of incorporation in Japan?
<|im_start|>Answer
",The documents certifying the subsidiary company's articles of incorporation in Japan are required to complete the procedures for certifying the subsidiary company's articles of incorporation.<|im_end|>,train
"<|im_start|>system
You are a law expert. Based on the given question, generate a single line answer concisely.  <|im_end|>
<|im_start|>Question
 What are some examples of items for which there are limits on deductible costs and expenses for corporations in Japan?
<|im_start|>Answer
","Some examples of items for which there are limits on deductible costs and expenses for corporations in Japan include corporate taxes and penalties, nondeductible amount for donations, nondeductible entertainment expenses, amount of allowance reserves transferred, amount exceeding depreciable limit of depreciable and deferred assets, write-down of assets, and compensation or retirement benefits for directors.<|im_end|>",train
"<|im_start|>system
You are a law expert. Based on the given question, generate a single line answer concisely.  <|im_end|>
<|im_start|>Question
 What is the status of residence provided to highly skilled foreign professionals who newly enter Japan?
<|im_start|>Answer
","The status of residence ""Class 1 Highly Skilled Professional"" is provided to highly skilled foreign professionals who newly enter Japan.<|im_end|>",train
"<|im_start|>system
You are a law expert. Based on the given question, generate a single line answer concisely.  <|im_end|>
<|im_start|>Question
 Where can the required registration statement be found for public inspection?
<|im_start|>Answer
",The required registration statement is available for public inspection at the U.S. Department of Justice.<|im_end|>,train
"<|im_start|>system
You are a law expert. Based on the given question, generate a single line answer concisely.  <|im_end|>
<|im_start|>Question
 Are there any additional fees besides the application fee for registering a design in Japan?
<|im_start|>Answer
","Yes, there are registration fees and annuities that must be paid each year to maintain the validity of the design rights.<|im_end|>",train
"<|im_start|>system
You are a law expert. Based on the given question, generate a single line answer concisely.  <|im_end|>
<|im_start|>Question
 What is the definition of ""insured status"" in the context of these notifications?
<|im_start|>Answer
","""Insured status"" refers to the status of an employee or representative of a corporation who is covered by social insurance, such as employment insurance, health insurance, or employees' pension insurance.<|im_end|>",train
"<|im_start|>system
You are a law expert. Based on the given question, generate a single line answer concisely.  <|im_end|>
<|im_start|>Question
 What is the maximum age limit for an employee to request childcare leave?
<|im_start|>Answer
","The child's first birthday in principle, or up to the age of 18 months if certain conditions are met.<|im_end|>",train
"<|im_start|>system
You are a law expert. Based on the given question, generate a single line answer concisely.  <|im_end|>
<|im_start|>Question
 What design elements will not be registered in Japan due to eligibility concerns?
<|im_start|>Answer
","Designs that may breach public order and morals, cause confusion with any item pertaining to the business of any other person, or consist of only the minimum form necessary to ensure the functions of the object will not be registered.<|im_end|>",train
"<|im_start|>system
You are a law expert. Based on the given question, generate a single line answer concisely.  <|im_end|>
<|im_start|>Question
 Is it necessary to take out labor insurance if I have any employees other than directors and officers?
<|im_start|>Answer
","Yes, you need to take out labor insurance if you have any employees other than directors and officers.<|im_end|>",train
"<|im_start|>system
You are a law expert. Based on the given question, generate a single line answer concisely.  <|im_end|>
<|im_start|>Question
 What is the timeframe for filing the notification of first-time coverage by health/employees' pension insurance?
<|im_start|>Answer
",File within 5 days of first hiring employees at a corporation or other establishment covered by social insurance.<|im_end|>,train
"<|im_start|>system
You are a law expert. Based on the given question, generate a single line answer concisely.  <|im_end|>
<|im_start|>Question
 What are the main items that have different handling in the taxation systems depending on the amount of paid-in capital or the amount of capital, etc.?
<|im_start|>Answer
","The main items include corporate tax, corporate inhabitant tax and enterprise tax.<|im_end|>",train
"<|im_start|>system
You are a law expert. Based on the given question, generate a single line answer concisely.  <|im_end|>
<|im_start|>Question
 Who is known as a benrishi in Japan?
<|im_start|>Answer
",A benrishi is a patent attorney in Japan.<|im_end|>,train
"<|im_start|>system
You are a law expert. Based on the given question, generate a single line answer concisely.  <|im_end|>
<|im_start|>Question
 Can you explain the taxpayer and scope of taxable properties for inheritance and gift tax in Japan?
<|im_start|>Answer
","The taxpayers and scope of taxable properties for inheritance and gift tax in Japan are determined based on the addresses and nationalities of the decedent/donor and the heir/devisee/legatee/donee, as well as the location of the properties. The table provided in the text outlines these conditions.<|im_end|>",train
"<|im_start|>system
You are a law expert. Based on the given question, generate a single line answer concisely.  <|im_end|>
<|im_start|>Question
 What documents are required to apply for re-entry permission in Japan?
<|im_start|>Answer
","Necessary documentation includes an application for re-entry permission, passport (re-entry permit will be delivered into the passport), resident card (or alien registration certificate deemed equivalent to a resident card), and payment of fees through the purchase of revenue stamps.<|im_end|>",train
"<|im_start|>system
You are a law expert. Based on the given question, generate a single line answer concisely.  <|im_end|>
<|im_start|>Question
 How do the thin-capitalization taxation rule and the earnings stripping rules interact?
<|im_start|>Answer
","If interest payments are subject to both these rules and the rules on thin-capitalization taxation described in 3.9.4 above would apply, the rules under which the non-deductible amount would be greater shall apply.<|im_end|>",train
"<|im_start|>system
You are a law expert. Based on the given question, generate a single line answer concisely.  <|im_end|>
<|im_start|>Question
 What information is included on a resident card?
<|im_start|>Answer
","The following information is included on resident cards: (1) Name, date of birth, sex, and nationality or region, (2) Place of residence (address of main residence in Japan), (3) Status of residence, period of stay, and date of expiration of period of stay, (4) Type and date of permission, (5) Number, date of issue, and date of expiration of resident card, (6) Working restrictions (if any), and (7) Details of permission to engage in activities other than that permitted under the status of residence previously granted (if any).<|im_end|>",train
"<|im_start|>system
You are a law expert. Based on the given question, generate a single line answer concisely.  <|im_end|>
<|im_start|>Question
 What is the seventh step in the general flow of procedures for dissolving/liquidating a subsidiary company?
<|im_start|>Answer
",Ascertainment and distribution of residual assets.<|im_end|>,train
"<|im_start|>system
You are a law expert. Based on the given question, generate a single line answer concisely.  <|im_end|>
<|im_start|>Question
 What percentage of companies with less than 100 employees have unionized workers?
<|im_start|>Answer
",Employees at only 0.9% of companies with less than 100 employees are unionized.<|im_end|>,train
"<|im_start|>system
You are a law expert. Based on the given question, generate a single line answer concisely.  <|im_end|>
<|im_start|>Question
 What is the section number for the protection of trademarks about retailers, etc. in the Trademark Law?
<|im_start|>Answer
",5.2.5<|im_end|>,train
"<|im_start|>system
You are a law expert. Based on the given question, generate a single line answer concisely.  <|im_end|>
<|im_start|>Question
 Can ""Dependents"" engage in part-time work in Japan?
<|im_start|>Answer
","Yes, with permission.<|im_end|>",train
"<|im_start|>system
You are a law expert. Based on the given question, generate a single line answer concisely.  <|im_end|>
<|im_start|>Question
 What is the rate of increase in wages for employees who work on statutory days off?
<|im_start|>Answer
",35%<|im_end|>,train
"<|im_start|>system
You are a law expert. Based on the given question, generate a single line answer concisely.  <|im_end|>
<|im_start|>Question
 What is the term of the guarantee of good conduct if not specified?
<|im_start|>Answer
","The term of the guarantee of good conduct is deemed to be three years if not specified, and up to a maximum of five years where a term is specified.<|im_end|>",train
"<|im_start|>system
You are a law expert. Based on the given question, generate a single line answer concisely.  <|im_end|>
<|im_start|>Question
 Who owns the copyright of the provided information?
<|im_start|>Answer
",The copyright of the provided information belongs to JETRO.<|im_end|>,train
